antecedents,consequent_class,expected_worst_of_antecedents,matches_worst_of_property
"{'A': 'Acceptable', 'M': 'Acceptable', 'V': 'Acceptable'}",Acceptable,Acceptable,True
"{'A': 'Acceptable', 'M': 'Acceptable', 'V': 'Critical'}",Critical,Critical,True
"{'A': 'Acceptable', 'M': 'Acceptable', 'V': 'Degraded'}",Degraded,Degraded,True
"{'A': 'Acceptable', 'M': 'Acceptable', 'V': 'Favourable'}",Acceptable,Acceptable,True
"{'A': 'Acceptable', 'M': 'Critical', 'V': 'Acceptable'}",Critical,Critical,True
"{'A': 'Acceptable', 'M': 'Critical', 'V': 'Critical'}",Critical,Critical,True
"{'A': 'Acceptable', 'M': 'Critical', 'V': 'Degraded'}",Critical,Critical,True
"{'A': 'Acceptable', 'M': 'Critical', 'V': 'Favourable'}",Critical,Critical,True
"{'A': 'Acceptable', 'M': 'Degraded', 'V': 'Acceptable'}",Degraded,Degraded,True
"{'A': 'Acceptable', 'M': 'Degraded', 'V': 'Critical'}",Critical,Critical,True
"{'A': 'Acceptable', 'M': 'Degraded', 'V': 'Degraded'}",Degraded,Degraded,True
"{'A': 'Acceptable', 'M': 'Degraded', 'V': 'Favourable'}",Degraded,Degraded,True
"{'A': 'Acceptable', 'M': 'Favourable', 'V': 'Acceptable'}",Acceptable,Acceptable,True
"{'A': 'Acceptable', 'M': 'Favourable', 'V': 'Critical'}",Critical,Critical,True
"{'A': 'Acceptable', 'M': 'Favourable', 'V': 'Degraded'}",Degraded,Degraded,True
"{'A': 'Acceptable', 'M': 'Favourable', 'V': 'Favourable'}",Acceptable,Acceptable,True
"{'A': 'Critical', 'M': 'Acceptable', 'V': 'Acceptable'}",Critical,Critical,True
"{'A': 'Critical', 'M': 'Acceptable', 'V': 'Critical'}",Critical,Critical,True
"{'A': 'Critical', 'M': 'Acceptable', 'V': 'Degraded'}",Critical,Critical,True
"{'A': 'Critical', 'M': 'Acceptable', 'V': 'Favourable'}",Critical,Critical,True
"{'A': 'Critical', 'M': 'Critical', 'V': 'Acceptable'}",Critical,Critical,True
"{'A': 'Critical', 'M': 'Critical', 'V': 'Critical'}",Critical,Critical,True
"{'A': 'Critical', 'M': 'Critical', 'V': 'Degraded'}",Critical,Critical,True
"{'A': 'Critical', 'M': 'Critical', 'V': 'Favourable'}",Critical,Critical,True
"{'A': 'Critical', 'M': 'Degraded', 'V': 'Acceptable'}",Critical,Critical,True
"{'A': 'Critical', 'M': 'Degraded', 'V': 'Critical'}",Critical,Critical,True
"{'A': 'Critical', 'M': 'Degraded', 'V': 'Degraded'}",Critical,Critical,True
"{'A': 'Critical', 'M': 'Degraded', 'V': 'Favourable'}",Critical,Critical,True
"{'A': 'Critical', 'M': 'Favourable', 'V': 'Acceptable'}",Critical,Critical,True
"{'A': 'Critical', 'M': 'Favourable', 'V': 'Critical'}",Critical,Critical,True
"{'A': 'Critical', 'M': 'Favourable', 'V': 'Degraded'}",Critical,Critical,True
"{'A': 'Critical', 'M': 'Favourable', 'V': 'Favourable'}",Critical,Critical,True
"{'A': 'Degraded', 'M': 'Acceptable', 'V': 'Acceptable'}",Degraded,Degraded,True
