path,effective_value,unit,status,source_file,source_key_path,scientific_rationale,pipeline_stage,manuscript_reference,engaged,sensitivity_coverage
cadence.sample_cadence_seconds,30,seconds,MANUSCRIPT_DEFINED,config/iaq_hfis.yaml,cadence.sample_cadence_seconds,Manuscript-specified 30 s collection cycle.,aggregation,Materials and Methods: data collection cadence,True,
cadence.aggregation_window_minutes,15,minutes,MANUSCRIPT_DEFINED,config/iaq_hfis.yaml,cadence.aggregation_window_minutes,Manuscript-specified primary operational window.,aggregation,Materials and Methods: rolling window,True,
cadence.recompute_interval_minutes,5,minutes,MANUSCRIPT_DEFINED,config/iaq_hfis.yaml,cadence.recompute_interval_minutes,Manuscript-specified recompute grid.,aggregation,Materials and Methods: recompute cadence,True,
cadence.slot_match_tolerance_seconds,15.0,seconds,AUTHOR_DEFINED_PROVISIONAL,config/iaq_hfis.yaml,cadence.slot_match_tolerance_seconds,"Half the sensor sample cadence: computed_ts has an arbitrary phase offset from the sensor's own ~30s cadence, so a tighter tolerance would systematically miss real readings that were never dropped.",validation,,True,
coverage.min_ratio,0.8,,MANUSCRIPT_DEFINED,config/iaq_hfis.yaml,coverage.min_ratio,Manuscript-specified coverage threshold rho_i(t) >= 0.80.,completeness,Materials and Methods: coverage ratio,True,swept directly by the sensitivity experiment (coverage_threshold)
hampel.window_size,11,samples,LITERATURE_INFORMED,config/iaq_hfis.yaml,hampel.window_size,"Point count (11) sourced from Pearson, Neuvo, Astola, Gabbouj, ""Generalized Hampel Filters"" (2016) -- the manuscript's own cited source's illustrative example (K=5 -> 11-point window) -- but the WINDOW SHAPE is causal (x_i and the 10 samples strictly before it), per the manuscript's own definition, not the cited paper's centered shape; see iaq_hfis.quality.hampel's module docstring.",validation,"Cited: Pearson et al. 2016, Hampel filter (point count only, not window shape)",True,
hampel.mad_multiplier,3.0,,CALIBRATED_ON_SYNTHETIC_CALIBRATION_SPLIT,config/iaq_hfis.yaml,hampel.mad_multiplier,"Selected by comparing h in {1.0, 2.0, 3.0} at window_size=11 on the deterministic synthetic fault-injection calibration split only (never validation), maximizing S = (single_spike recall + genuine-event preservation + (1 - single_spike FPR)) / 3 -- see iaq_hfis.evaluation.fault_injection.select_hampel_multiplier, parameter_selection.json, and research_results/hampel_causal_revision_report.md.",validation,"Cited: Pearson et al. 2016, Hampel filter (point count only; multiplier is calibrated, not literature-sourced)",True,
confirmation.persistence_min_consecutive_samples,2,samples,PROVISIONAL,config/iaq_hfis.yaml,confirmation.persistence_min_consecutive_samples,Not given numerically in the manuscript.,validation,,True,
confirmation.stuck_value_min_repeats,5,samples,PROVISIONAL,config/iaq_hfis.yaml,confirmation.stuck_value_min_repeats,Not given numerically in the manuscript. Exact-equality repeat count; there is no separate stuck-value tolerance parameter.,validation,,True,
confirmation.gradual_drift_min_consecutive_steps,5,samples,PROVISIONAL,config/iaq_hfis.yaml,confirmation.gradual_drift_min_consecutive_steps,Not given numerically in the manuscript.,validation,,True,
confirmation.gradual_drift_magnitude_multiplier,3.0,x declared sensor uncertainty,PROVISIONAL,config/iaq_hfis.yaml,confirmation.gradual_drift_magnitude_multiplier,Not given numerically in the manuscript; empirically verified against live data to avoid flagging ordinary environmental trends (e.g. CO2 falling after ventilation) as faults.,validation,,True,
confirmation.pm_cross_channel_tolerance_pct,20.0,%,PROVISIONAL,config/iaq_hfis.yaml,confirmation.pm_cross_channel_tolerance_pct,Not given numerically in the manuscript.,validation,,True,
derived.dual_channel_tolerance.temperature,1.3,channel units,DERIVED,src/iaq_hfis/schema.py,dual_channel_tolerance(),Sum of the primary and secondary sensor's own declared_uncertainty from sensor_specs.yaml (schema.dual_channel_tolerance) -- not an independently configured value.,validation,,True,
derived.dual_channel_tolerance.humidity,9.0,channel units,DERIVED,src/iaq_hfis/schema.py,dual_channel_tolerance(),Sum of the primary and secondary sensor's own declared_uncertainty from sensor_specs.yaml (schema.dual_channel_tolerance) -- not an independently configured value.,validation,,True,
confirmation.outdoor_context_max_age_minutes,120.0,minutes,DERIVED_FROM_SYSTEM_CADENCE,config/iaq_hfis.yaml,confirmation.outdoor_context_max_age_minutes,"2x the real outdoor weather fetch cadence (air-monitor/scripts/fetch_weather.py runs hourly via cron) -- tolerates one missed/delayed fetch cycle before flagging staleness, tied to the observable fetch schedule rather than an independently-guessed number.",validation,,True,
profile_selection.season_month_ranges,"{'cold_period': [10, 11, 12, 1, 2, 3], 'warm_period': [4, 5, 6, 7, 8, 9]}",months,PROVISIONAL,config/iaq_hfis.yaml,profile_selection.season_month_ranges,Season cutover months not given in the manuscript.,profile_selection,,True,
control_regions.pm2_5.transition_widths,"[5.0, 5.0, 5.0]",channel units,DATASHEET_BASED,config/sensor_specs.yaml,control_regions.pm2_5.transition_widths,Matches sensor_specs.yaml's declared_uncertainty for pm2_5 (datasheet-sourced).,membership_construction,,True,
